id,book_level,vocab,english_meaning,vietnamese_meaning,word_type,component
119,Công xưởng,热处理,Heat Treatment,Xử lý nhiệt,Noun,热 = heat + 处理 = process
120,Công xưởng,物料清单,BOM / Bill of Materials,Bảng kê nguyên vật liệu,Noun,物料 = materials + 清单 = list
121,Công xưởng,玻璃,Glass,"Kính, thủy tinh",Noun,王 + 皮 + 瓦
122,Công xưởng,班长,Foreman,Quản đốc ca,Noun,班 = shift + 长 = chief
123,Công xưởng,生产,Produce / Production,Sản xuất,Verb/Noun,生 = give birth + 产 = produce
124,Công xưởng,生产周期,Production Cycle,Chu kỳ sản xuất,Noun,生产 = produce +
125,Công xưởng,生产率,Productivity,Năng suất lao động,Noun,生产 = produce + 率 = rate
126,Công xưởng,生产线,Production Line,Dây chuyền sản xuất,Noun,生产 = produce + 线 = line
127,Công xưởng,电压,Voltage,Điện áp,Noun,电 = electricity + 压 = pressure
128,Công xưởng,电流,Electric Current,Dòng điện,Noun,电 = electric + 流 = flow
129,Công xưởng,电焊机,Welding Machine,Máy hàn,Noun,电 = electric + 焊 = weld + 机 = machine
130,Công xưởng,电镀,Electroplating,Điện mạ,Verb,电 = electric + 镀 = plate
131,Công xưởng,病假,Sick Leave,Nghỉ ốm,Noun,病 = sick + 假 = leave
132,Công xưởng,监督,Supervise,Giám sát,Verb,监 = watch + 督 = oversee
133,Công xưởng,硬度,Hardness,Độ cứng,Noun,硬 = hard + 度 = degree
134,Công xưởng,禁止入内,No Entry,Cấm vào,Phrase,禁 = forbid + 止 = stop + 入 = enter + 内 = inside
135,Công xưởng,福利,Welfare,Phúc lợi,Noun,福 = blessing + 利 = benefit
136,Công xưởng,空压机,Air Compressor,Máy nén khí,Noun,空气 = air + 压 = press + 机 = machine
137,Công xưởng,管理员,Manager,Quản lý viên,Noun,管理 = manage + 员 = person
138,Công xưởng,精确度,Precision,Độ chính xác,Noun,精确 = precise + 度 = degree
139,Công xưởng,纤维,Fiber,Sợi,Noun,纟 + 千 + 維
140,Công xưởng,组装,Assemble,Lắp ráp,Verb,组 = group + 装 = install
141,Công xưởng,组长,Team Leader,Tổ trưởng,Noun,组 = group + 长 = chief
142,Công xưởng,经理,Manager,Quản lý,Noun,经 = manage + 理 = arrange
143,Công xưởng,统计,Statistics / Count,Thống kê,Noun/Verb,统 = unify + 计 = count
144,Công xưởng,维修,Maintain / Repair,"Bảo trì, sửa chữa",Verb,维 = maintain + 修 = repair
145,Công xưởng,维修工,Maintenance Worker,Thợ bảo trì,Noun,维修 = repair + 工 = worker
146,Công xưởng,维护保养,Maintenance,Bảo trì định kỳ,Noun,维护 = maintain + 保养 = care
147,Công xưởng,缺陷,Defect / Flaw,"Khuyết tật, lỗi",Noun,缺 = lack + 陷 = defect
148,Công xưởng,自动化,Automation,Tự động hóa,Noun,自动 = automatic + 化 =-ize
149,Công xưởng,节能,Energy Saving,Tiết kiệm năng lượng,Noun,节 = save + 能 = energy
150,Công xưởng,节能减排,Energy Conservation & Emission Reduction,Tiết kiệm năng lượng giảm phát thải,Phrase,节约 = save + 能源 = energy + 减排 = reduce emission
151,Công xưởng,螺丝刀,Screwdriver,Tua vít,Noun,螺丝 = screw + 刀 = knife/blade
152,Công xưởng,补贴,Subsidy,Trợ cấp,Noun,补 = supplement + 贴 = subsidize
153,Công xưởng,装配,Assemble,Lắp ráp,Verb,装 = install + 配 = match
154,Công xưởng,规格,Specifications,"Quy cách, thông số",Noun,规 = rule + 格 = standard
155,Công xưởng,规格型号,Specs & Model,Quy cách và mã hiệu,Noun,规格 = spec + 型号 = model
156,Công xưởng,警告,Warning,Cảnh báo,Noun/Verb,警 = alert + 告 = announce
157,Công xưởng,警告标志,Warning Sign,Biển báo cảnh cáo,Noun,警告 = warning + 标志 = sign
158,Công xưởng,计划,Plan,Kế hoạch,Noun,计 = calculate + 划 = draw
159,Công xưởng,订单,Order / Purchase Order,Đơn hàng,Noun,订 = subscribe + 单 = form
160,Công xưởng,记录,Record / Note,Ghi chép,Noun/Verb,记 = remember + 录 = record
161,Công xưởng,设备,Equipment,Thiết bị,Noun,设 = arrange + 备 = prepare
162,Công xưởng,设计师,Designer,Nhà thiết kế,Noun,设计 = design + 师 = expert
163,Công xưởng,试用期,Probation Period,Thời gian thử việc,Noun,试用 = try out + 期 = period
164,Công xưởng,误差,Error / Deviation,Sai số,Noun,误 = mistake + 差 = difference
165,Công xưởng,请假,Ask for Leave,Xin nghỉ,Verb,请 = request + 假 = leave
166,Công xưởng,调试,Debug / Commission,"Điều chỉnh, chạy thử",Verb,调 = adjust + 试 = test
167,Công xưởng,负责,Be Responsible,Phụ trách,Verb,负 = bear + 责 = duty
168,Công xưởng,质检员,Quality Inspector,Nhân viên kiểm tra chất lượng,Noun,质量 = quality + 检 = inspect + 员 = person
169,Công xưởng,质量,Quality,Chất lượng,Noun,质 = essence + 量 = measure
170,Công xưởng,质量保证,Quality Assurance,Đảm bảo chất lượng,Noun,质量 = quality + 保证 = guarantee
171,Công xưởng,质量认证,Quality Certification,Chứng nhận chất lượng,Noun,质量 = quality + 认证 = certify
172,Công xưởng,车间,Workshop,Phân xưởng,Noun,车 = machine + 间 = room
173,Công xưởng,运行,Run / Operate,Vận hành,Verb,运 = move + 行 = go
174,Công xưởng,返工,Rework,Làm lại sản phẩm,Verb,返 = return + 工 = work
175,Công xưởng,进度,Progress / Schedule,Tiến độ,Noun,进 = advance + 度 = degree
176,Công xưởng,迟到,Be Late,Đi muộn,Verb,迟 = late + 到 = arrive
177,Công xưởng,通知,Notify / Notice,Thông báo,Verb/Noun,通 = communicate + 知 = inform
178,Công xưởng,通风,Ventilate,Thông gió,Verb,通 = pass through + 风 = wind
179,Công xưởng,配件,Fitting / Accessory,"Phụ tùng, phụ kiện",Noun,配 = match + 件 = part
180,Công xưởng,采购,Purchase / Procurement,Mua hàng,Verb/Noun,采 = gather + 购 = buy
181,Công xưởng,采购员,Purchaser,Nhân viên thu mua,Noun,采购 = buy + 员 = person
182,Công xưởng,重量,Weight,Trọng lượng,Noun,重 = heavy + 量 = measure
183,Công xưởng,钢材,Steel Material,Thép thô,Noun,钢 = steel + 材 = material
184,Công xưởng,钳子,Pliers,Kìm,Noun,钅 = metal radical + 甘 + 口
185,Công xưởng,铁,Iron,Sắt,Noun,钅 = metal radical + 失
186,Công xưởng,铜,Copper,Đồng,Noun,钅 = metal radical + 同
187,Công xưởng,铝合金,Aluminum Alloy,Hợp kim nhôm,Noun,铝 = aluminum + 合 = alloy + 金 = metal
188,Công xưởng,销售员,Salesperson,Nhân viên bán hàng,Noun,销售 = sell + 员 = person
189,Công xưởng,防护,Protection / Shield,Bảo hộ,Verb/Noun,防 = prevent + 护 = protect
190,Công xưởng,防护用品,PPE / Safety Gear,Đồ dùng bảo hộ,Noun,防护 = protect + 用品 = articles
191,Công xưởng,防护镜,Safety Goggles,Kính bảo hộ,Noun,防护 = protect + 镜 = glass
192,Công xưởng,防护鞋,Safety Shoes,Giày bảo hộ,Noun,防护 = protect + 鞋 = shoe
193,Công xưởng,防毒面具,Gas Mask,Mặt nạ phòng độc,Noun,防 = prevent + 毒 = poison + 面具 = mask
194,Công xưởng,陶瓷,Ceramics,Gốm sứ,Noun,阝 + 缶 + 木
195,Công xưởng,零件,Spare Part / Component,"Bộ phận, chi tiết",Noun,零 = fragment + 件 = piece
196,Công xưởng,零缺陷,Zero Defects,Không có lỗi,Noun,零 = zero + 缺陷 = defect
197,Công xưởng,零部件,Components & Parts,Bộ phận chi tiết,Noun,零件 = parts + 部件 = components
198,Công xưởng,高压危险,High Voltage Danger,Điện áp cao nguy hiểm,Phrase,高 = high + 压 = voltage + 危险 = danger
199,HSK 1,一些,Some,Một số,Determiner,"一 = one
 些 = 此 (this) + 二 (two)"
200,HSK 1,一起,Together,Cùng nhau,Adverb,"一 = one
 起 = 走 (walk) + 己 (self)"
201,HSK 1,七,seven,Bảy,numeral,七 (seven) = 一 (one) + small stroke below
202,HSK 1,三,Three,Ba,Number,三 = 一 (one) + 二 (two)
203,HSK 1,三月,March,Tháng Ba,noun,三月 (March) = 三 (three) + 月 (month; moon)
204,HSK 1,上,be engaged at a fixed time,Có hẹn,Verb,"上 = ⺊ (divination) + 一 (one)
 "
205,HSK 1,下,next,dưới,Noun,"下 = 一 (one) + 卜 (divination)
星 = 日 (sun/day) + 生 (life)
期 = 甘 (sweet) + 一 (one) + 八 (eight/divide) + 月 (moon)"
206,HSK 1,不,Not / No,Không,Adverb,不 = a hooked stroke – symbol for negation
207,HSK 1,不少,quite a few,Khá nhiều,adjective / quantifier,"不少 (quite a few) = 不 (not) + 少 (few)  
不 (not) = 一 (one) + 丿 (slash)"
208,HSK 1,不错,OK/nice,Được / Tốt,adjective,"不错 (OK) = 不 (not) + 错 (wrong, mistake)
不 (not) = 一 (one) + 丿 (slash) + 丨 (line)
错 (wrong) = 钅(metal) + 昔 (past)
昔 (past) = 日 (sun) + 廿 (twenty)"
209,HSK 1,专注,focus,Tập trung,verb/adjective,"专注 (focus) = 专 (concentrate) + 注 (concentrate)
专 = 一 (one) + 寸 (inch/hand)
注 = 氵(water) + 主 (master)"
210,HSK 1,两,two,Hai,Number,两 = 一 (one) + 从 (N/A) + 冂 (upside down box)
211,HSK 1,中午,midnoon,Giữa trưa,noun,中午 (midnoon) = 中 (middle) + 午 (noon)
212,HSK 1,中心,center,Trung tâm,Noun,"购 = 贝 (money) + 勾 (hook)
物 = 牛 (cow) + 勿 (not)
 "
213,HSK 1,中文,Chinese,Tiếng Trung,noun/adj,"中文 (Chinese) = 中 (middle) + 文 (writing)
中 (middle) = 口 (mouth/frame) + 丨 (line)
文 (writing) = 亠 (lid) + 乂 (cut/cross)"
215,HSK 1,久,for a long time,Lâu dài,Adjective,久 = 勹 (wrap) + ㇏ (N/A)
216,HSK 1,九,nine,Chín,numeral,九 (nine) = original pictograph of a twisted object → numeral 9
217,HSK 1,九月,September,Tháng Chín,noun,"九月 (September) = 九 (nine) + 月 (moon; month)  
九 (nine) = 乙 (second) + 丿 (slash)"
218,HSK 1,九点,Nine o'clock,Chín giờ,Noun,"九 = 丿 (bend) + ㇈ (N/A) 
点 = ⺊ (divination) + 口 (mouth) + 灬 (fire)"
219,HSK 1,也,too / also,Cũng,adverb,也 (too / also) = 乙(second) / pictograph variant
220,HSK 1,乡下,country,Quốc gia,noun,"乡下 (country) = 乡 (village) + 下 (below)
乡 (village) = ⺷(sheep) + 阝(village)
下 (below) = 一(one) + 卜(divination mark)"
221,HSK 1,书,Book,Sách,Noun,书 = 冖 (cover) + 又 (again/hand)
222,HSK 1,买,buy,Mua,verb,买 (to buy) = 𠂊 (net) + 头 (head)
223,HSK 1,二月,February,Tháng Hai,noun,二月 (February) = 二 (two) + 月 (month; moon)
224,HSK 1,五,Five,Năm,Number,Variant of 二 + horizontal strokes
225,HSK 1,些,Some / Few,Một ít,Measure Word,二 (two) + 止 (stop) + 小 (small)
226,HSK 1,交,submit,Nộp,verb,"交 (submit) = từ đơn, nghĩa là giao, nộp"
227,HSK 1,亮,bright,Sáng,adjective,"亮 (bright) = 高 (tall) + 几 (small table)  
→ nghĩa gốc: ánh sáng từ nơi cao."
228,HSK 1,亲近,close,Đóng / Gần,adjective,"亲近 (close) = 亲 (kin/relative) + 近 (near)
亲 = 见 (see) + 木 (tree)
近 = 辶 (walk) + 斤 (axe)"
229,HSK 1,人,people,Người,noun,人 (people) = 人 (pictograph of a standing person)
230,HSK 1,什么,What,Cái gì,Pronoun,"为 = 力 (power/force) + ⺀ (dot)
什 =  亻 (human) + 十 (ten)"
231,HSK 1,今天,Today,Hôm nay,Noun,今 = 人 (person) + 乛; 天 = 一 (one) + 大 (big)
232,HSK 1,介绍,To introduce,Giới thiệu,Verb,"介 = person between two lines (to go between)
 绍 = 纟 (silk) + 肖 (resemble)"
233,HSK 1,他,he,Anh ấy,pronoun,他 (his / he) = 亻(person) + 也(also)
234,HSK 1,他们,they,Họ,pronoun,"他们 (they) = 他 (he) + 们 (plural suffix)
他 (he) = 亻(person) + 也(also)
们 (plural suffix) = 亻(person) + 门(door)"
235,HSK 1,价钱,price,Giá,noun,"价钱 (price) = 价 (price; value) + 钱 (money)  
价 (price) = 亻(person) + 介 (introduce)  
钱 (money) = 钅(metal) + 戋 (narrow)"
236,HSK 1,会,can,Có thể,modal verb,会 (can) = 人 (person) + 云 (say/speak)
237,HSK 1,住,stay,Ở lại,verb,住 (stay) = 亻 (person) + 主 (main/master)
239,HSK 1,作文,essay,Bài luận,noun,"作文 (essay) = 作 (to make/do) + 文 (writing)
作 = 亻(person) + 乍 (sudden/first)
文 = lines/writing"
240,HSK 1,你,You (normal),Bạn,Pronoun,你 = 亻 (person) + 尔 (you/that)
241,HSK 1,你好,Hello,Xin chào,Greeting,"你好 = 你 (you) + 好 (good)
 你 = 亻(human/person) + 尔 (that)
 好 = 女 (female) + 子 (child)"
242,HSK 1,你的,your,Của bạn,pronoun (possessive),"你的 (your) = 你 (you) + 的 (possessive marker)
的 (possessive marker) = 白 (white) + 勺 (spoon)"
244,HSK 1,保持,keep,Giữ,verb,"保持 (keep) = 保 (protect/maintain) + 持 (hold)
保 = 亻(person) + 呆 (dull → here means preserve)
持 = 扌(hand) + 寺 (temple)"
245,HSK 1,信,letter,Thư,Noun,信 = 亻 (human) + 言 (speech)
246,HSK 1,借,To borrow,Mượn,Verb,亻 (person) + 昔 (past)
247,HSK 1,做,To do / make,Làm,Verb,亻 (person) + 故 (cause)
248,HSK 1,儿子,boy,Nam sinh,noun,"儿子 (boy/son) = 儿(child/son) + 子(child)
儿 (child) = pictograph of a child with legs
子 (child) = pictograph of a baby with large head"
250,HSK 1,先,first,Đầu tiên,Adverb,先 = ⺧ (cow) + 儿 (legs)
251,HSK 1,先生,Mrs,Bà,noun,"先生 (Mrs.) = 先 (first) + 生 (born; person)  
先 (first) = ⺧ (cow head radical) + 儿 (human legs)  
生 (born) = 生 (life; to be born)"
253,HSK 1,八,eight,Tám,numeral,八 (eight) = pictograph of division/split
254,HSK 1,公司,company,Công ty,noun,"公司 (company) = 公 (public) + 司 (to manage)
公 (public) = 八 (to divide) + 厶 (private)
司 (to manage) = 一 (one) + 口 (mouth)"
255,HSK 1,六,Six,Sáu,Number,Top = 八 (divide) + stroke – originally flowing
258,HSK 1,写,To write,Viết,Verb,宀 (roof) + 与 (give) – hand giving words under a roof
262,HSK 1,几,How many,Bao nhiêu (đếm được),Measure word,土 (earth) + 夬 (decisive)
263,HSK 1,分,Minute,Phút,Noun,刀 (knife) + 八 (divide)
264,HSK 1,分钟,minute,Phút,noun,"分钟 (minute) = 分 (divide) + 钟 (clock)  
分 (divide) = 八 (eight) + 刀 (knife)  
钟 (clock) = 钅(metal) + 中 (middle)"
265,HSK 1,刚才,just now,Vừa rồi,adverb,"刚才 (just now) = 刚 (just) + 才 (just; only)  
刚 (just) = 冈 (ridge) + 刀 (knife)  
才 (only) = 一 (one) + 丿 (slash)"
266,HSK 1,到,go to,Đi đến,Verb,到 = 至 (arrive) + 刂 (knife)
267,HSK 1,刷卡,pay by credit card,Thanh toán bằng thẻ,verb,"刷卡 (credit card) = 刷 (swipe) + 卡 (card)  
刷 (swipe) = 刂 (knife) + 尸 (body) + 巾 (cloth)  
卡 (card) = 上 (up) + 下 (down)  (pictograph of something inserted)"
268,HSK 1,刻,Quarter (time),Một phần tư (giờ),Noun,刂 (knife) + 害 (harm/danger)
269,HSK 1,前,before,Trước,Noun,前 = 丷 (eight/divide) + 一 (one) + 月 (moon) + 刂 (knife)
270,HSK 1,包, packaging,Túi / Bao bì / Gói,noun,包 (packaging) = 勹 (wrap) + 巳 (self)
271,HSK 1,包子,Steamed bun,Bánh bao,Noun,"包 = 勹 (wrap) + 巳 (baby)
 子 = child"
272,HSK 1,北边,North side,Phía bắc,Noun,"北 = two people back-to-back
 边 = 辶 (walk) + 力 (strength)"
273,HSK 1,医院,hospital,Bệnh viện,noun,医院 (hospital) = 医 (medical) + 院 (institution)
274,HSK 1,十,Ten,Mười,Number,A single vertical and horizontal stroke (cross)
275,HSK 1,十三,thirteen,Mười ba,Number,"十三 (thirteen)=十 (ten)+三 (three)
十 (ten)=一 (one)+丨 (line)
三 (three)=一 (one)+一 (one)+一 (one)"
276,HSK 1,十八,eighteen,Mười tám,Number,"十 = 十 (ten)
八 = 八 (eight/divide)"
277,HSK 1,午夜,midnight,Nửa đêm,adjective,午夜 (midnight) = 午 (noon) + 夜 (night)  
278,HSK 1,半,half,Một nửa,Numeral,半 = 二 (two) +丨 (line) + 丷 (eight/divide)
